analysis_sample_rate,bit_rate,length,replay_gain,sample_rate,codec,downmix,md5_encoded,track_id,danceability,femaleness,acousticness,aggressiveness,electronicity,happiness,festiveness,relaxation,sadness,brightness,tonality,insrumentalness
44100,128056,60.08161163,-14.89618874,22050,mp3,mix,9b2010d602420c02fd513c4bd79f0e1a,TRLCHOG12903CBE201,0.728645504,0.616805673,2.27E-09,0.999996305,0.075123124,0.683976591,0.51056087,0.103477336,0.004121381,0.21757178,0.294420898,0.002060463
44100,128056,60.02936554,-4.654912949,22050,mp3,mix,b8130f7ef3c9b28b43718311a851401f,TREQXBJ128F934E3CE,0.017632596,0.752541542,0.970560014,1.57E-05,0.173668727,0.044266135,0.002072886,0.990111589,0.976109743,0.394721508,0.994963348,0.996827126
44100,128056,60.08161163,-8.621744156,22050,mp3,mix,58f66795976e8a247cfc7b236df8ecfa,TRGRCXR12903CFD7CD,0.167004749,0.073314749,0.90279907,0.116882391,0.156126499,0.461001754,0.079623707,0.63517791,0.797037423,0.962334394,0.921192288,0.001400647
44100,128000,60.08163452,-9.171842575,44100,mp3,mix,cfeec8a419264b103f2b081527d3c2da,TRTOZPV128F92D71AC,0.694411755,0.003314803,0.471561611,0.034741499,0.532326818,0.5,0.298831701,0.218485728,0.653770387,0.456679136,0.970731437,0.012651771
44100,128111,30.04081726,-9.06061554,44100,mp3,mix,7add0fbccf6ff22900efeeb9ead8a59d,TRKNISH128F42627EA,0.22636719,0.717184484,0.035175916,0.682841301,0.190214738,0.651303411,0.68419838,0.255996525,0.102924407,0.24809438,0.973870039,0.383030176
44100,128056,60.02936554,-12.11368179,22050,mp3,mix,60719e8fba00f7d564d4dbf51ce3e411,TRQPUPQ12903CBB7E6,0.998886764,0.557393789,1.14E-05,0.757950246,0.99014616,0.775974333,0.955512822,0.110727139,0.171718791,0.549428344,0.75547713,0.04653256
44100,128056,60.08161163,-12.54693413,22050,mp3,mix,e374c79cc08ea5ffbadff31bbefe277a,TRBREPN12903CD3F31,0.999294519,0.705542326,2.96E-06,0.825124562,0.929462016,0.917412579,0.916517019,0.075512469,0.041331425,0.971326768,0.823038578,0.419938862
44100,128000,60.08163452,-12.04707146,44100,mp3,mix,3229e2ca025ea7ed3eb5dd3b42c806dd,TRONLIC128F92DE31D,0.868114531,0.356931686,0.215167895,0.336716563,0.833115995,0.844807923,0.552558839,0.918452263,0.177339107,0.391766429,0.068380035,0.628116906
44100,64028,60.02936554,-3.392185211,22050,mp3,mix,103061a82a4e80d60a47b7ef01b96d19,TRUIRQN128E07918FB,0.568288445,0.963414073,0.427816957,0.048977513,0.182738543,0.489477754,0.330856532,0.583848298,0.644538045,0.912557602,0.963644505,0.003532545
44100,64055,30.04079437,-14.35803795,22050,mp3,mix,111e9063493eda695a3f8f788e5c1de7,TRHJFLF128F4253664,3.09E-09,0.41669783,0.007528794,0.94527638,0.5,0.541513741,0.704266846,0.333440393,0.021821735,0.0847314,0.002872394,0.105693132
44100,64000,60.08161163,-14.3075943,22050,mp3,mix,36ec3fb7072a1bb883e0fad0f549345b,TRTUPNC128F42480BE,0.083847605,0.904171884,0.582131922,0.02983693,0.084431633,0.411632121,0.021020191,0.965336144,0.512624383,0.999983609,0.954025507,0.10035225
44100,128056,60.02936554,-7.044729233,22050,mp3,mix,3cd71bed66001128ab0cab20824482ce,TRRDRDA128F930AAFC,0.006194775,0.935676038,0.989493549,4.38E-08,0.202215254,0.255142123,0.002864788,0.975528777,0.953572452,0.015178899,0.118407235,0.9840855
44100,128111,30.04079437,-12.17597771,22050,mp3,mix,2afa5afa183a3b5cf37714d41c097561,TRKPCRK128F424B33A,1.10E-06,0.406251669,5.85E-07,0.995766103,0.733958721,0.328875184,0.523400962,0.153773636,0.005648428,0.741884708,0.281137228,0.767037749
44100,64028,60.02936554,-10.62810898,22050,mp3,mix,44680939037d3eace4b1629b6070f1a8,TRVYSRJ128F4231FA8,0.004528209,0.960364103,0.950236857,1.75E-06,0.078423508,0.730042636,0.002900993,0.993469417,0.943100631,0.852250695,0.892615259,0.915986359
