track_id,song_id,mode_confidence,end_of_fade_in,key_confidence,year,duration,time_signature_confidence,title,start_of_fade_out,analysis_sample_rate,time_signature,tempo,artist_id,artist_name,artist_hotttnesss,key,release,loudness
TRJPTGQ128F42A2187,SOIYHHS12A8C13E7B5,0.452,0,0.556,2007,141.66159,1,Don't Cry,141.662,22050,4,103.085,ARJ5FD21187FB43F12,Mavado,0.520784107,0,Gangsta For Life: The Symphony Of David Brooks,-5.816
TRZWFET128F425BF9E,SONEJET12A8C137D3E,0.669,0,0.679,2005,354.69016,0.529,Gypsy Funeral: Hark! From The Tombs Of Doleful Sound,348.253,22050,1,123.153,ARH3CTU1187FB365C7,Miasma & The Carousel Of Headless Horses,0.346908214,9,Perils,-11.137
TRNTAMF128F14618CA,SOPAGVA12AF729F018,0.551,0,0.672,2001,338.442,1,Trade Money,327.529,22050,4,162.54,AR0CANF1187B9AF35F,Dilated Peoples,0.457841156,7,Expansion Team,-5.199
TRALQGQ128F427E682,SODZLJT12A8C13BD4C,0.354,0,0.378,2004,202.37016,1,Me Han Vuelto Loca,200.22,22050,4,101.978,ARKE6XC1187B991839,Merche,0.406329135,6,Autentica,-2.756
TRLOUXS128F92D963F,SOXWPNT12AAF3B270E,0.761,0,0.615,2005,315.58485,0.719,Riders On The Storm,288.142,22050,4,108.992,AR2TT8P1187B9B624D,O'2L,0.291498632,9,Doyle's Brunch,-8.825
TRSCGTC128F148BF93,SOWHSBZ12A6D4FA110,0.621,0.265,0.56,2001,209.10975,1,A Night Like This,196.586,22050,4,94.435,ARLKHC31187B98FDEA,Professional Murder Music,0.434160603,6,Professional Murder Music,-5.765
TRRQBZR128F42201D5,SOPQPTU12A81C1FD5E,0.257,0,0.363,1993,42.55302,0.44,Band Introduction (dialogue),42.553,22050,1,62.701,ARSBOQJ1187B9B8872,Stan Rogers,0.421082624,2,Home In Halifax,-20.992
TRMYGPV128F935F40C,SOSUSNF12AB0185A3E,0.584,0,0.614,1972,227.23873,1,Don't Deceive Me,220.862,22050,4,165.69,ARWVOHH1187FB5974B,Screamin' Jay Hawkins,0.467565441,5,Greatest Hits,-17.374
TRBXWOP12903CBC2AD,SOHTWTW12A58A7D09D,0.674,8.243,0.659,2004,279.24853,1,Impressionable,268.597,22050,3,96.635,ARCN9F71187FB3705A,Staple,0.402207791,5,Staple,-5.655
TRMLWWT128F14635AE,SOUQSEL12D02192BCC,0.711,1.489,0.716,1973,196.41424,0.501,All Night Long,181.359,22050,4,114.475,AROJTFQ1187B9AFE0A,Peter Frampton,0.580437826,2,Classic Peter Frampton - The Universal Masters Collection,-8.866
TRZJGCC128F427A496,SOMHEVM12A58A80951,0.512,2.125,0.33,2007,220.70812,1,For Emma,206.965,22050,4,110.536,ARKDTAM1187FB54026,Bon Iver,0.532863553,4,For Emma_ Forever Ago,-11.11
TRUJWSJ128F4243046,SOTTWTT12A8C131B60,0.28,0,0.437,1994,202.60526,0.611,Special Way (Album),202.605,22050,4,166.229,ARWLUPX1187B98FC64,Pigeonhed,0.311703945,11,Pigeonhed,-12.52
TRSUIZZ128F428EA82,SOYVRGA12A8C139DBA,0.544,0.206,0.61,2007,236.06812,0.437,No One's Listening,232.559,22050,4,96.873,AR609UN1187FB53FA1,Pride Tiger,0.381345282,5,The Lucky Ones,-2.492
TRJOTDK128F92FEA49,SOJLBBY12A6D4FB640,0.288,0,0.085,2002,300.35546,0.67,Human Shield,290.418,22050,4,190.139,ARCY8M01187FB4D3D8,Antipop Consortium,0.396758351,10,Arrhythmia,-7.251
TRRFWTZ128F92D2814,SOTSMQQ12A8C14120D,0.409,0,0.431,2008,529.8673,0.704,It\x19s Boring/You Can Live Anywhere You Want,523.053,22050,4,145.014,ARAOZRA120AB961844,YACHT,0.516543181,0,Summer Song,-15.868
TRICKRD128F932151A,SOSQLFM12AB0181944,0.149,0,0.001,1996,206.73261,0,Factory,201.062,22050,4,137.937,ARO48XX1187B98FC5C,The Pietasters,0.404977883,11,Strapped Live!,-7.754
TRXAQXB128F147774B,SODXXII12A6D4F5606,0.281,0.317,0.121,1961,174.73261,0.484,Sentimental Journey,170.939,22050,4,90.655,ARQJK8L1187B9BA068,Acker Bilk / Leon Young String Chorale,0.38303419,5,Reflections,-15.488
TRLOVNF128F4271B76,SOKKYYL12A8C132594,0.269,3.721,0.633,2002,226.29832,1,Brother To Brother,217.246,22050,3,132.997,AR9VTPV1187FB4D2AF,Gregg Allman,0.472201681,5,No Stranger To The Dark: The Best Of Gregg Allman,-9.17
TRQOFQW128F428DB15,SONRPND12A8C13A128,0.363,0.2,0.009,2003,128.33914,0.138,Mein Name ist Fisch,116.082,22050,4,140.207,ARVWR4E1187B98CE3F,Hape Kerkeling,0.446057821,0,Junge_ Junge...,-6.59
TRDEMRX128F9310F82,SOCLNJQ12AB0181FAE,0.646,3.309,0.145,1970,179.30404,0.398,Born To Wander,172.675,22050,4,152.561,ARJ4LIU1187B98FF60,Rare Earth,0.396950212,2,Big Motown Hits & Hard To Find Classics - Volume 2,-12.093
TRYFADE128F428FFB4,SOZEDNQ12A8C13A36A,0.461,0.113,0.601,2007,196.10077,0.886,City Of Angels,191.843,22050,5,130.717,AR1LT8R1187B9B7111,Ozomatli,0.510663562,11,Don't Mess With The Dragon,-4.024
TRSVVXJ128F9325CA9,SONEHNL12AB018023C,0.452,0,0.295,2006,215.66649,0,Childhood,210.297,22050,4,40.063,ARWCIEL1187FB42EF5,Beach House,0.537650625,1,Beach House,-15.891
TRFYCKC128F92DE66B,SOUJLIR12AAF3B49B5,0,3.634,0,1969,168.72444,0.009,Funk #48,166.446,22050,4,100.032,ARMMFY61187B98E4F9,The James Gang,0.438134757,2,The Best Of Joe Walsh & The James Gang (1969-1974),-10.69
TRLFQOK12903CDC0A9,SOVAPYS12AB0187088,0.578,0.061,0.727,1992,344.58077,0.689,El Diablo Es Un Se\xc3\xb1or,337.055,22050,1,207.219,AROUGOK1187B9A6A17,Facundo Cabral,0.399009368,4,Facundo Cabral-Los Elegidos,-11.994
TRCVVVS128F426792E,SOPDLFL12A8C134AB0,0.435,0.409,0.224,1995,116.74077,0,Farewell,107.793,22050,4,125.406,AR4GO8C1187B9A0659,Blekbala Mujik,0.31588066,7,Blekbala Mujik,-19.275
TRXNHCX128F421400F,SOEKZFV12A6D4FB453,0.637,0,0.733,1950,163.44771,0.727,Oblivion,159.951,22050,3,128.881,ARMS7SO1187B991B21,Bud Powell,0.430277263,5,Autumn Broadcasts 1953,-24.027
TRCCOJY128F428B044,SOHEHTV12A8C13A3C9,0.44,0.363,0.385,1997,173.94893,0,Bluejackets,163.416,22050,4,178.125,ARLUZ671187B9A72D0,Voice Of A Generation,0.35333032,4,Classic Stupidity,-5.355
TRCMJYF128F92DF730,SODNEMF12A8C145DBD,0.547,0.066,0.519,1979,208.43057,0,Living By Numbers,187.257,22050,3,135.335,ARBRB451187B9963F0,New Musik,0.334372633,7,The Pop Years 1980 - 1981,-6.244
TRRJLSP128F428A55E,SOWDIZY12A8C137756,0.74,0.119,0.766,1995,95.73832,0.429,Charlie Brown,95.738,22050,4,213.429,ARR65F51187FB47D3D,Voodoo Glow Skulls,0.515582132,11,Firme,-6.558
